createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount
19487640,2024-3-22,0x8ac81f48212066aa373763d2e7ceb2944f60a33e,5.0599e-12,0.0,0.0,7e-15,0.0,24,5.0599e-12,0.0,0x12f4e28f741550fccf5373af712f603a7dc73d47,konye wust,KONYE,5.0599e-12,24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x12f4e28f741550fccf5373af712f603a7dc73d47,konye wust,KONYE,5.0599e-12,24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19487414,2024-3-22,0x81c3ba877219d0d566317c95fce6a9a32f1f228b,1.1369e-11,0.0,0.0,7e-15,0.0,16,1.1369e-11,0.0,0x74c3fa00e507fa6b9363efd1cd3124332f6c1a3c,Mommy AI,MOMAI,1.1369e-11,16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x74c3fa00e507fa6b9363efd1cd3124332f6c1a3c,Mommy AI,MOMAI,1.1369e-11,16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19487372,2024-3-22,0x77fdb093186796a9809281cb459d366611e07701,4.03e-07,2.4e-15,4.9e-15,1.7585e-11,0.0,42,4.03e-07,2.4e-15,0x6fe8e181640e4edc859a5e789cab96f0556d3b68,Backpack,Backpack,4.03e-07,42,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x6fe8e181640e4edc859a5e789cab96f0556d3b68,Backpack,Backpack,4.03e-07,42,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19487339,2024-3-22,0xa93e3d7079da674010eabc2359465003af783d41,1769800770725685.2,5.480454414e-07,1.0960908828e-06,0.0038527230957855,30822.07001484488,49,1769800770725685.2,5.480454414e-07,0x0cb9cda489aae64fd4a31d2cd17f70dae5fe4b73,StarryNift,TBA,1769800770725685.2,49,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x0cb9cda489aae64fd4a31d2cd17f70dae5fe4b73,StarryNift,TBA,1769800770725685.2,49,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19487317,2024-3-22,0x75c8228abcdc7c8503b598965a044eb8b7b01f80,100067900297.65668,0.0010036373146541,0.0010036373146541,3.521283744366176,10000.000000000002,14,100067900297.65668,0.0010036373146541,0x5c7fb3cd7a1260331b756e8d6193cf3c2369b44b,Ameca AI,AMECA,100067900297.65668,14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x5c7fb3cd7a1260331b756e8d6193cf3c2369b44b,Ameca AI,AMECA,100067900297.65668,14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19487242,2024-3-22,0x2fe77c52e429367fa22be7d47710b11813b4bad5,0.0010063118401433,100041678753.79456,0.0020126236802867,6.998794723040718,10000.000000000002,37,100041678753.79456,0.0010063118401433,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0xe4257277bd074decfe1152dd52b8f58f872ff596,TRUMP AI,TRUMPAI,100041678753.79456,37,0xe4257277bd074decfe1152dd52b8f58f872ff596,TRUMP AI,TRUMPAI,100041678753.79456,37,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19487178,2024-3-22,0x6657d8f569100a35c9c10145ae78e451abfa8387,1.02741e-11,0.0,0.0,6.9e-15,0.0,17,1.02741e-11,0.0,0x58a1772ce2a47860335033e61f0c7591320a0c16,bober kurwa,BOBER,1.02741e-11,17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x58a1772ce2a47860335033e61f0c7591320a0c16,bober kurwa,BOBER,1.02741e-11,17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19486996,2024-3-22,0xb6804c1cb4de72d772b42237d6e5c59b5d16a1f7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0x46cc9d33e5d1e2225e3e10a0c73b43f2de335cc5,TLB Token,TLBS,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x46cc9d33e5d1e2225e3e10a0c73b43f2de335cc5,TLB Token,TLBS,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19486960,2024-3-22,0x1044ebbc42111dc557f126692f911f452cecbf7c,0.0,4.7365e-05,0.0,7.31e-14,0.0,31,4.7365e-05,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0xc3b67c9218226309bb5e3403104559744d6a25e6,PeePee,PeePee,4.7365e-05,31,0xc3b67c9218226309bb5e3403104559744d6a25e6,PeePee,PeePee,4.7365e-05,31,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19486902,2024-3-22,0xd4be9f32a504cdf5b8f955148fa7fe880e20ac4b,1.617e-05,6e-16,1.2e-15,4.2707e-12,0.0,47,1.617e-05,6e-16,0x2ac744a3e964dcb6d8f02c55de00eea308304e64,MERL,MERL,1.617e-05,47,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x2ac744a3e964dcb6d8f02c55de00eea308304e64,MERL,MERL,1.617e-05,47,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
